"";"level";"Não";"Sim";"p"
"n";"";"53";"12";""
"Genero (%)";"F";"25 (47.2) ";" 4 (33.3) ";" 0.524"
"";"M";"28 (52.8) ";" 8 (66.7) ";""
"Tipo_Histologico (%)";"G1";"25 (47.2) ";" 1 ( 8.3) ";" 0.002"
"";"G2";"16 (30.2) ";" 3 (25.0) ";""
"";"G3";" 3 ( 5.7) ";" 1 ( 8.3) ";""
"";"D";" 5 ( 9.4) ";" 7 (58.3) ";""
"";"CC";" 4 ( 7.5) ";" 0 ( 0.0) ";""
"Presenca_Metastase (%)";"Não";"47 (90.4) ";" 5 (41.7) ";" 0.001"
"";"Sim";" 5 ( 9.6) ";" 7 (58.3) ";""
"Local_Recidiva (%)";"Não";"48 (90.6) ";" 8 (72.7) ";" 0.131"
"";"Sim";" 5 ( 9.4) ";" 3 (27.3) ";""
"Localizacao (%)";"apendicular";"37 (69.8) ";"10 (83.3) ";" 0.485"
"";"axial";"16 (30.2) ";" 2 (16.7) ";""
"Tipo_Cirurgia (%)";"ampla";"32 (60.4) ";" 5 (41.7) ";" 0.108"
"";"intralesional";" 7 (13.2) ";" 0 ( 0.0) ";""
"";"marginal";" 1 ( 1.9) ";" 0 ( 0.0) ";""
"";"radical";"12 (22.6) ";" 6 (50.0) ";""
"";"radioterapia";" 1 ( 1.9) ";" 0 ( 0.0) ";""
"";"sem tratamento";" 0 ( 0.0) ";" 1 ( 8.3) ";""
"Estadiamento (%)";"IA";"19 (35.8) ";" 1 ( 8.3) ";" 0.007"
"";"IB";"10 (18.9) ";" 0 ( 0.0) ";""
"";"IIA";" 7 (13.2) ";" 2 (16.7) ";""
"";"IIB";"16 (30.2) ";" 6 (50.0) ";""
"";"III";" 1 ( 1.9) ";" 3 (25.0) ";""
"tempo.diagnostico (%)";"<3meses";" 5 ( 9.4) ";" 3 (25.0) ";" 0.588"
"";"3 A 6 MESES";" 5 ( 9.4) ";" 0 ( 0.0) ";""
"";"6m a 1ano";"15 (28.3) ";" 4 (33.3) ";""
"";"1 a 3 anos";"20 (37.7) ";" 4 (33.3) ";""
"";">3anos";" 8 (15.1) ";" 1 ( 8.3) ";""
